qc_id,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,county,school_add,city,state,school_gra,#_of_cases,staff__stu,date_added,new_or_ong,latitude,longitude,icon_url
"5",Munger,,,,,,"-1","0","-1",,,Wayne,5525 Martin Street,Detroit,michigan,Administrative,"5",Staff,11/9/2020,new,42.337259,-83.132785,./0.png
"0",Rapid River Schools,,,,,,"-1","0","-1",,,Delta,10070 Hwy US2,Rapid River,michigan,High school,"3",Students,11/9/2020,new,45.897656,-86.865475,./0.png
"1",Frankenmuth High School,,,,,,"-1","0","-1",,,Saginaw,525 E. Genesee,Frankenmuth,michigan,High school,"3",Staff,11/9/2020,new,43.335665,-83.733224,./0.png
"2",Fox Elementary,,,,,,"-1","0","-1",,,Macomb,17500 Millstone Dr,Macomb,michigan,Pre-school - elementary,"2",Both,11/9/2020,new,42.634105,-82.947252,./0.png
"3",Northern Michigan Christian School,,,,,,"-1","0","-1",,,Misaukee,128 Martin St,McBain,michigan,Administrative,"4",Both,11/9/2020,new,44.190856,-85.217054,./0.png
"4",Dewitt Public Schools - Schavey Rd Elem,,,,,,"-1","0","-1",,,Clinton,1721 Schavey Rd,Dewitt,michigan,Pre-school - elementary,"2",Both,11/9/2020,new,42.826239,-84.588584,./0.png
"6",Coldwater School,,,,,,"-1","0","-1",,,Branch,275 N. Fremont St,Coldwater,michigan,Administrative,"8",Staff,11/9/2020,new,41.948757,-85.010494,./0.png
"7",Coldwater High School,,,,,,"-1","0","-1",,,Branch,275 N Fremont,Coldwater,michigan,High school,"2",Students,11/9/2020,new,41.948757,-85.010494,./0.png
"8",Davidson Middle School,,,,,,"-1","0","-1",,,Wayne,15800 Trenton Rd,Southgate,michigan,Junior high/middle school,"3",Staff,11/9/2020,new,42.192776,-83.194773,./0.png
"9",Mather Elementary School,,,,,,"-1","0","-1",,,Alger,411 Elm Street,Munising,michigan,Pre-school - elementary,"3",Both,11/9/2020,new,46.408245,-86.657613,./0.png
"10",West Ottawa High School,,,,,,"-1","0","-1",,,Ottawa,3685 Butternut Dr,Holland,michigan,High school,"2",Students,11/9/2020,new,42.834658,-86.150179,./0.png
"11",McFall Elementary,,,,,,"-1","0","-1",,,Barry,509 W Main St,Middleville,michigan,Pre-school - elementary,"2",Students,11/9/2020,new,42.710866,-85.472362,./0.png
"12",Weston Elementary School,,,,,,"-1","0","-1",,,Lapeer, 275 Weston St,Imlay City,michigan,Pre-school - elementary,"3",Staff,11/9/2020,new,43.020238,-83.080572,./0.png
"13",Messiah Child Development Center,,,,,,"-1","0","-1",,,Ingham,5740 Holt Rd,Holt,michigan,Pre-school - elementary,"3",Students,11/9/2020,new,42.640447,-84.570265,./0.png
"14",Centreville School,,,,,,"-1","0","-1",,,St. Joseph,109 Hogan St,Centreville,michigan,Pre-school - elementary,"2",Students,11/9/2020,new,41.918762,-85.526585,./0.png
"15",Union City High School,,,,,,"-1","0","-1",,,Branch,430 St Joseph St,Union city,michigan,High school,"5",Both,11/9/2020,new,42.025271,-85.078799,./0.png
"16",Cedar Springs High School,,,,,,"-1","0","-1",,,Kent,204 E Muskegon St,Cedar Springs,michigan,High school,"7",Both,11/9/2020,new,43.21687,-85.546256,./0.png
"17",Childtime Learning Center,,,,,,"-1","0","-1",,,Ingham,920 Jerome,Lansing,michigan,Pre-school - elementary,"3",Staff,11/9/2020,new,42.734584,-84.539251,./0.png
"18",Warren Woods Middle School,,,,,,"-1","0","-1",,,Macomb,13400 Twelve Mile Rd,Warren,michigan,Junior high/middle school,"3",Staff,11/9/2020,new,42.506412,-82.99048,./0.png
"19",Cesar E Chavez Elementary,,,,,,"-1","0","-1",,,Kent,1205 Grandville Ave SW,Grand Rapids,michigan,Pre-school - elementary,"3",Staff,11/9/2020,new,42.941413,-85.683445,./0.png
"20",Weiss Elementary,,,,,,"-1","0","-1",,,Saginaw,4645 Weiss Street,Saginaw,michigan,Pre-school - elementary,"8",Both,11/9/2020,new,43.443814,-84.00709,./0.png
"21",Breton Downs Elementary,,,,,,"-1","0","-1",,,Kent,2500 Boston St SE,Grand Rapids,michigan,Pre-school - elementary,"4",Both,11/9/2020,new,42.93398,-85.60752,./0.png
"22",Livingston Classical Academy,,,,,,"-1","0","-1",,,Washtenaw,8877 Main St ,Whitmore Lake,michigan,Pre-school - elementary,"2",Students,11/9/2020,new,42.414025,-83.762628,./0.png
"23",St. Anselm Elementary School,,,,,,"-1","0","-1",,,Wayne,17700 W. Outer Dr,Dearborn Heights,michigan,Pre-school - elementary,"3",Both,11/9/2020,new,42.329287,-83.261666,./0.png
