qc_id,name,descriptio,timestamp,begin,end,altitudemo,tessellate,extrude,visibility,draworder,icon,county,school_add,city,state,school_gra,#_of_cases,staff__stu,date_added,new_or_ong,latitude,longitude,icon_url
"0",Zemmer,,,,,,"-1","0","-1",,,Lapeer,1920 W. Oregon St,Lapeer,michigan,Junior high/middle school,"5",Both,11/2/2020,ongoing,43.057888,-83.331162,./0.png
"1",Lakeview,,,,,,"-1","0","-1",,,Marquette,98 Croix,Negaunee,michigan,Pre-school - elementary,"5",Both,10/5/2020,ongoing,46.509471,-87.611928,./0.png
"2",Lakeshore Middle School,,,,,,"-1","0","-1",,,Ottawa,900 Cutler St,Grand Haven,michigan,Junior high/middle school,"5",Students,10/26/2020,ongoing,43.055977,-86.225346,./0.png
"3",Lapeer High School,,,,,,"-1","0","-1",,,Lapeer,933 s. Saginaw St,Lapeer,michigan,High school,"7",Both,10/26/2020,ongoing,43.03958,-83.303628,./0.png
"4",Lakeview High School,,,,,,"-1","0","-1",,,Macomb,21100 E 11 Mile Rd,St. Clair Shores,michigan,High school,"2",Students,10/26/2020,ongoing,42.494852,-82.903051,./0.png
"5",Libertas Christian School,,,,,,"-1","0","-1",,,Ottawa,5181 64th Ave,Hudsonville,michigan,Junior high/middle school,"5",Both,10/26/2020,ongoing,42.862993,-85.940701,./0.png
"6",Lawton Public School,,,,,,"-1","0","-1",,,Van Buren,780 E 2nd St,Lawton,michigan,High school,"2",Students,10/12/2020,ongoing,42.168715,-85.847493,./0.png
"7",Lowell High School,,,,,,"-1","0","-1",,,Kent,11700 Vergennes St SE,Lowell,michigan,High school,"7",Both,11/2/2020,ongoing,42.955599,-85.378986,./0.png
"8",Jackson Christian,,,,,,"-1","0","-1",,,Jackson,4200 Lowe Rd,Jackson,michigan,High school,"4",Both,10/19/2020,ongoing,42.199866,-84.442585,./0.png
"9",Iroquois Middle School,,,,,,"-1","0","-1",,,Macomb,48301 Romeo Plank Rd,Macomb,michigan,Junior high/middle school,"2",Students,10/26/2020,ongoing,42.652879,-82.939106,./0.png
"10",Jefferson Middle School,,,,,,"-1","0","-1",,,Midland,800 W Chapel Lane,Midland,michigan,Junior high/middle school,"4",Both,10/19/2020,ongoing,43.649327,-84.235535,./0.png
"11",Kenowa Hills Central Elementary,,,,,,"-1","0","-1",,,Kent,4252 3 Mile Rd NW,Grand Rapids,michigan,Pre-school - elementary,"5",Both,10/19/2020,ongoing,43.014429,-85.774227,./0.png
"12",Kennedy Elementary School,,,,,,"-1","0","-1",,,Manistee,550 Maple St,Manistee,michigan,Pre-school - elementary,"2",Both,11/2/2020,ongoing,44.240604,-86.324259,./0.png
"13",Lakeshore High School,,,,,,"-1","0","-1",,,Macomb,22980 13 Mile Rd,St Clair Shores,michigan,High school,"4",Both,11/2/2020,ongoing,42.521492,-82.878867,./0.png
"14",Highland Pines,,,,,,"-1","0","-1",,,Tuscola,1381 Cleaver,Caro,michigan,High school,"5",Both,10/26/2020,ongoing,43.505797,-83.387974,./0.png
"15",Heritage High School,,,,,,"-1","0","-1",,,Saginaw,3465 Center Road,Saginaw,michigan,High school,"4",Students,10/5/2020,ongoing,43.41242,-83.886873,./0.png
"16",Houghton-Portage Township High School,,,,,,"-1","0","-1",,,Houghton,1603 Gundlach Road,Houghton,michigan,High school,"3",Students,10/26/2020,ongoing,47.107955,-88.568688,./0.png
"17",Holland High School,,,,,,"-1","0","-1",,,Ottawa,600 Van Raalte Ave,Holland,michigan,High school,"4",Students,10/19/2020,ongoing,42.773857,-86.123287,./0.png
"18",Hyatt Elementary,,,,,,"-1","0","-1",,,Genesee,325 Stan Eaton Dr,Linden,michigan,Pre-school - elementary,"2",Staff,10/26/2020,ongoing,42.810071,-83.785271,./0.png
"19",Hudsonville High School,,,,,,"-1","0","-1",,,Ottawa,5051 32nd Ave,Hudsonville,michigan,High school,"7",Both,10/12/2020,ongoing,42.8622,-85.861286,./0.png
"20",Ida Elementary School,,,,,,"-1","0","-1",,,Monroe,7900 Ida Street,Ida,michigan,Pre-school - elementary,"4",Staff,10/19/2020,ongoing,41.905681,-83.566655,./0.png
"21",Grant Public Schools,,,,,,"-1","0","-1",,,Newaygo,148 South Elder,Grant,michigan,Junior high/middle school,"10",Both,10/5/2020,ongoing,43.333956,-85.801693,./0.png
"22",Grandville High School,,,,,,"-1","0","-1",,,Kent,4700 Canal Ave SW,Grandville,michigan,High school,"14",Students,9/21/2020,ongoing,42.879303,-85.769931,./0.png
"23",Graveraet,,,,,,"-1","0","-1",,,Marquette,611 N Front Street,Marquette,michigan,Pre-school - elementary,"2",Students,11/2/2020,ongoing,46.548276,-87.392409,./0.png
"24",Harbor Beach High School ,,,,,,"-1","0","-1",,,Huron,402 S. Fifth Street ,Harbor Beach ,michigan,High school,"4",Both,11/2/2020,ongoing,43.840015,-82.657437,./0.png
"25",Heritage Christian Academy,,,,,,"-1","0","-1",,,Kalamazoo,6312 Quail Run Dr,Kalamazoo,michigan,High school,"6",Both,11/2/2020,ongoing,42.268327,-85.667495,./0.png
"26",Pinewood Elementary School,,,,,,"-1","0","-1",,,Macomb,1441 Bade Dr,Warren,michigan,Pre-school - elementary,"3",Both,10/19/2020,ongoing,42.566673,-83.118945,./0.png
"27",Paw Paw High School,,,,,,"-1","0","-1",,,Van Buren,Red Arrow Hwy,Paw Paw,michigan,High school,"4",Students,11/2/2020,ongoing,42.211382,-85.937361,./0.png
"28",Plymouth Christian Academy,,,,,,"-1","0","-1",,,Wayne,43065 Joy Rd,Canton,michigan,Pre-school - elementary,"9",Both,10/19/2020,ongoing,42.351417,-83.465587,./0.png
"29",Plainwell High School,,,,,,"-1","0","-1",,,Allegan,684 Starr Rd,Plainwell,michigan,High school,"5",Students,10/26/2020,ongoing,42.436815,-85.653924,./0.png
"30",Rochester High School ,,,,,,"-1","0","-1",,,Oakland,1361 Walton Blvd. ,Rochester Hills ,michigan,High school,"2",Staff,11/2/2020,ongoing,42.678861,-83.155615,./0.png
